TransactionAmount,TransactionType,Location,DeviceID,MerchantID,Channel,CustomerAge,CustomerOccupation,TransactionDuration,LoginAttempts,AccountBalance,TransactionHour,TransactionWeekday,TransactionDay,TransactionMonth,PreviousTransactionDate
14.09,Debit,San Diego,D000380,M015,ATM,70,Doctor,81,1,5112.21,16,1,11,4,2024-11-04 08:08:08
376.24,Debit,Houston,D000051,M052,ATM,68,Doctor,141,1,13758.91,16,1,27,6,2024-11-04 08:09:35
126.29,Debit,Mesa,D000235,M009,Online,19,Student,56,1,1122.35,18,0,10,7,2024-11-04 08:07:04
184.5,Debit,Raleigh,D000187,M002,Online,26,Student,25,1,8569.06,16,4,5,5,2024-11-04 08:09:06
13.45,Credit,Atlanta,D000308,M091,Online,26,Student,198,1,7429.4,17,0,16,10,2024-11-04 08:06:39
92.15,Debit,Oklahoma City,D000579,M054,ATM,18,Student,172,1,781.68,17,0,3,4,2024-11-04 08:06:36
7.08,Credit,Seattle,D000241,M019,ATM,37,Doctor,139,1,13316.71,16,2,15,2,2024-11-04 08:10:09
171.42,Credit,Indianapolis,D000500,M020,Branch,67,Retired,291,1,2796.24,17,0,8,5,2024-11-04 08:10:55
106.23,Credit,Detroit,D000690,M035,Branch,51,Engineer,86,1,9095.14,16,1,21,3,2024-11-04 08:11:14
815.96,Debit,Nashville,D000199,M007,ATM,55,Doctor,120,1,1021.88,16,4,31,3,2024-11-04 08:06:32
17.78,Credit,Albuquerque,D000205,M073,Online,52,Engineer,59,1,7599.52,16,1,14,3,2024-11-04 08:06:45
190.02,Debit,Memphis,D000589,M030,Online,21,Student,173,1,1528.81,17,0,6,2,2024-11-04 08:07:12
494.52,Credit,Mesa,D000032,M057,Branch,24,Student,111,1,1620.02,17,2,7,6,2024-11-04 08:08:38
781.76,Debit,Memphis,D000054,M025,ATM,26,Student,123,1,189.69,16,0,20,11,2024-11-04 08:07:06
166.99,Debit,Louisville,D000309,M017,Online,18,Student,134,1,299.93,16,0,13,2,2024-11-04 08:10:09
465.45,Debit,Denver,D000466,M025,ATM,36,Engineer,129,1,3465.54,16,1,12,12,2024-11-04 08:12:19
555.8,Credit,Austin,D000671,M048,Branch,19,Student,158,1,1131.26,16,0,30,10,2024-11-04 08:07:35
492.93,Debit,Columbus,D000432,M059,Online,39,Engineer,234,1,5109.97,18,3,14,12,2024-11-04 08:11:51
18.68,Credit,Albuquerque,D000530,M054,Branch,59,Retired,106,1,7948.37,16,1,21,2,2024-11-04 08:12:01
71.48,Credit,Columbus,D000039,M039,Online,18,Student,169,1,6568.59,18,3,8,6,2024-11-04 08:09:20
59.32,Debit,Los Angeles,D000152,M040,Branch,71,Retired,38,1,5750.89,16,1,28,2,2024-11-04 08:09:24
85.77,Debit,Las Vegas,D000268,M065,Branch,38,Doctor,93,1,9146.19,18,4,11,8,2024-11-04 08:08:13
52.2,Debit,Atlanta,D000142,M022,Online,39,Engineer,120,1,8974.93,18,1,6,6,2024-11-04 08:07:01
345.84,Debit,Fort Worth,D000162,M083,Online,22,Student,142,3,1402.5,18,1,2,5,2024-11-04 08:07:04
145.54,Debit,Raleigh,D000036,M028,Online,21,Student,96,1,1930.96,16,3,2,3,2024-11-04 08:07:09
7.49,Credit,Houston,D000671,M043,Online,65,Retired,276,1,3634.67,17,4,20,10,2024-11-04 08:09:44
